value,lat,lon,desc
1,36.7608795,-83.0222473,Pennington Gap
1,36.7597618,-79.9897079,Bassett
1,36.7431488,-79.9617996,Stanleytown
1,36.7267418,-78.1299133,South Hill
1,36.7185402,-80.5116272,Laurel Fork
1,36.70224,-81.4409103,Trout Dale
1,36.682106,-76.247345,Great Bridge
1,36.6223984,-81.1509018,Independence
1,36.5985413,-82.1807938,Bristol
1,36.5772209,-79.8583603,Ridgeway
4,39.0907211,-77.6357269,Loudoun
