value,lat,lon,desc
2,40.2011909,-77.1891708,"Carlisle, PA"
2,36.5544281,-121.9244232,"Carmel, CA"
1,34.0331306,-77.8943787,"Carolina Beach, NC"
1,40.5732117,-81.0868607,"Carrollton, OH"
1,39.1648788,-119.7669678,"Carson City, NV"
1,34.1651688,-84.7957001,"Cartersville, GA"
1,37.6674309,-78.0860214,"Cartersville, VA"
1,42.2043495,-88.2543869,"Cary, IL"
10,35.7897491,-78.7811584,"Cary, NC"
1,39.27034,-76.7392731,"Catonsville, MD"
1,36.1704712,-79.1508484,"Cedar Grove, NC"
1,35.1454506,-82.6441422,"Cedar Mountain, NC"
1,41.9763412,-91.6737595,"Cedar Rapids, IA"
1,39.5951309,-104.8988419,"Centennial, CO"
1,39.8177414,-84.9939423,"Centerville, IN"
4,38.83741,-77.4432678,"Centreville, VA"
1,34.048912,-118.4246674,"Century City, CA"
1,39.8691292,-75.5899582,"Chadds Ford Township, PA"
1,44.5048409,-114.2368164,"Challis, ID"
3,39.9374313,-77.6607513,"Chambersburg, PA"
5,40.1142006,-88.2434998,"Champaign, IL"
16,38.8835983,-77.4397507,"Chantilly, VA"
23,35.9274521,-79.0392685,"Chapel Hill, NC"
33,32.7811508,-79.9316025,"Charleston, SC"
5,38.3501396,-81.6389313,"Charleston, WV"
2,38.4441605,-85.6553879,"Charlestown, IN"
79,35.2228584,-80.8379593,"Charlotte, NC"
675,38.0321312,-78.4775314,"Charlottesville, VA"
1,36.7988091,-78.4603119,"Chase City, VA"
1,44.7871895,-93.6018219,"Chaska, MN"
1,40.7379303,-74.3844528,"Chatham, NJ"
2,36.8254395,-79.3982697,"Chatham, VA"
1,34.2570801,-118.5977173,"Chatsworth, CA"
1,34.7667999,-84.769577,"Chatsworth, GA"
8,35.0464401,-85.3094635,"Chattanooga, TN"
2,43.7405815,-70.1201401,"Chebeague Island, ME"
1,42.3184586,-84.0192566,"Chelsea, MI"
3,39.9097252,-74.9870987,"Cherry Hill, NJ"
16,36.7142906,-76.2478409,"Chesapeake, VA"
1,41.3614883,-74.2736206,"Chester, NY"
2,37.3573914,-77.4426575,"Chester, VA"
1,37.3785019,-77.585907,Chesterfield
8,37.3785019,-77.585907,Chesterfield
1,41.5242119,-81.3379364,"Chesterland, OH"
9,38.971199,-77.0764008,"Chevy Chase, MD"
1,41.1348114,-104.8215408,"Cheyenne, WY"
82,41.8842506,-87.6324463,"Chicago, IL"
1,29.47826,-82.8596802,"Chiefland, FL"
1,37.9347687,-75.3749695,"Chincoteague, VA"
2,37.9347687,-75.3749695,"Chincoteague, VA"
3,37.1301384,-80.4084091,"Christiansburg, VA"
24,39.1071281,-84.5041275,"Cincinnati, OH"
1,39.9987984,-74.9946136,"Cinnaminson Township, NJ"
1,38.8866539,-77.0931549,"Clarendon, VA"
1,35.4716988,-93.4663696,"Clarksville, AR"
1,37.9428406,-121.9372482,"Clayton, CA"
6,27.96558,-82.7997513,"Clearwater, FL"
14,41.5047493,-81.6907196,"Cleveland, OH"
1,35.1601791,-84.8753204,"Cleveland, TN"
1,40.8209,-73.9882965,"Cliffside Park, NJ"
1,40.8656311,-74.1602478,"Clifton, NJ"
2,32.3376503,-90.3294296,"Clinton, MS"
2,36.1007195,-84.1331024,"Clinton, TN"
3,37.1487312,-82.4596481,"Clintwood, VA"
1,40.9711418,-73.9595108,"Closter, NJ"
1,34.4052315,-103.2053375,"Clovis, NM"
1,39.4883003,-76.6538086,"Cockeysville, MD"
1,36.9431801,-82.4629211,"Coeburn, VA"
4,38.9807205,-76.9372711,"College Park, MD"
2,30.6205406,-96.3258972,"College Station, TX"
1,37.2539482,-77.4111328,"Colonial Heights, VA"
8,38.8334312,-104.8218079,"Colorado Springs, CO"
13,39.2091599,-76.8673096,"Columbia, MD"
3,38.9522095,-92.3341522,"Columbia, MO"
18,33.9988213,-81.045372,"Columbia, SC"
1,39.9619904,-83.0027466,"Columbus, OH"
2,32.4629211,-84.9875717,"Columbus, GA"
1,33.4950294,-88.4288025,"Columbus, MS"
23,39.9619904,-83.0027466,"Columbus, OH"
2,37.9816513,-122.0258331,"Concord, CA"
3,42.46101,-71.3490524,"Concord, MA"
3,43.2072487,-71.5365982,"Concord, NH"
1,35.4099693,-80.5806808,"Concord, NC"
1,40.0792885,-75.3009491,"Conshohocken, PA"
1,35.0908089,-92.4402313,"Conway, AR"
1,43.3679504,-124.2196426,"Coos Bay, OR"
2,25.7492294,-80.2629471,"Coral Gables, FL"
2,42.1403809,-77.0302887,"Corning, NY"
1,36.3794594,-75.8302917,"Corolla, NC"
1,32.6761894,-117.1708908,"Coronado, CA"
2,42.6034889,-76.1748199,"Cortland, NY"
3,44.5650406,-123.2635269,"Corvallis, OR"
3,33.6638794,-117.9029999,"Costa Mesa, CA"
1,37.7935295,-79.995903,"Covington, VA"
1,40.9415092,-73.9599609,"Cresskill, NJ"
1,38.1537094,-78.842453,"Crimora, VA"
3,38.0696487,-78.7006912,"Crozet, VA"
1,38.2206612,-90.3777084,"Crystal City, MO"
1,28.9001503,-82.5930862,"Crystal River, FL"
1,38.0631714,-91.4036179,"Cuba, MO"
6,38.4733315,-77.9961395,"Culpeper, VA"
4,34.0216103,-118.3962097,"Culver City, CA"
2,34.2035713,-84.1399384,"Cumming, GA"
5,37.3189583,-122.0292816,"Cupertino, CA"
1,33.9889183,-83.8991165,"Dacula, GA"
1,35.3160095,-81.1758728,"Dallas, NC"
62,32.7781487,-96.7954025,"Dallas, TX"
2,36.6353798,-81.7904434,"Damascus, VA"
8,36.5859795,-79.4171982,"Danville, VA"
4,41.065361,-73.4824219,"Darien, CT"
1,35.4977913,-80.8494568,"Davidson, NC"
1,39.1287003,-79.4657135,"Davis, WV"
1,40.374691,-74.5101471,"Dayton, NJ"
3,39.7591095,-84.1944427,"Dayton, OH"
1,44.4489517,-88.0598679,"De Pere, WI"
1,42.3220901,-83.176239,"Dearborn, MI"
1,34.607399,-86.9797897,"Decatur, AL"
2,33.7742615,-84.2965927,"Decatur, GA"
1,42.2466011,-71.1737671,"Dedham, MA"
1,26.3200397,-80.0997925,"Deerfield Beach, FL"
1,42.1497993,-87.836998,"Deerfield, IL"
1,32.9548912,-117.2634811,"Del Mar, CA"
1,42.7489891,-74.185791,"Delanson, NY"
1,38.9151001,-77.9203033,"Delaplane, VA"
2,26.4643593,-80.0741806,"Delray Beach, FL"
2,37.555069,-76.3272095,"Deltaville, VA"
49,39.7400093,-104.9923019,"Denver, CO"
3,41.5897598,-93.6156464,"Des Moines, IA"
4,42.3316803,-83.0479965,"Detroit, MI"
1,40.0456314,-75.4238205,"Devon, PA"
2,38.4455185,-121.81707,"Dixon, CA"
1,41.0151901,-73.8748932,"Dobbs Ferry, NY"
1,39.1580315,-75.5247269,"Dover, DE"
1,40.104969,-83.1330872,"Dublin, OH"
1,37.1051102,-80.6867294,"Dublin, VA"
2,36.1700783,-75.7558517,"Duck, NC"
1,34.0036507,-84.14534,"Duluth, GA"
1,38.5672417,-77.3272095,"Dumfries, VA"
1,38.8955116,-77.2251587,"Dunn Loring, VA"
1,37.2736702,-107.879303,"Durango, CO"
26,35.9954185,-78.8964386,"Durham, NC"
1,44.8180809,-93.16716,"Eagan, MN"
3,38.1539917,-78.4808884,"Earlysville, VA"
1,41.7690582,-72.643959,"East Hartford, CT"
1,42.7374992,-84.4837799,"East Lansing, MI"
1,40.6688652,-73.8871307,"East New York, NY"
1,40.7609901,-74.2099075,"East Orange, NJ"
1,38.7738991,-76.0747528,"Easton, MD"
3,37.3502502,-75.9385834,"Eastville, VA"
1,42.5114288,-84.6558304,"Eaton Rapids, MI"
2,44.8586617,-93.4601288,"Eden Prairie, MN"
1,36.5023613,-79.7433929,"Eden, NC"
1,41.3908806,-70.5206528,"Edgartown, MA"
2,38.8213615,-78.5624313,"Edinburg, VA"
5,40.5045013,-74.3470001,"Edison, NJ"
1,31.7591591,-106.4874878,"El Paso, TX"
2,33.9199219,-118.4159622,"El Segundo, CA"
3,36.3014984,-76.2197571,"Elizabeth City, NC"
2,40.6635094,-74.2114563,"Elizabeth, NJ"
1,36.3513908,-82.2162781,"Elizabethton, TN"
1,34.6282196,-78.6060333,"Elizabethtown, NC"
1,42.0032387,-88.0091934,"Elk Grove Village, IL"
1,38.4090195,-121.3651428,"Elk Grove, CA"
1,38.9240189,-79.8444901,"Elkins, WV"
1,39.2060814,-76.728363,"Elkridge, MD"
1,38.5139008,-77.8526917,"Elkwood, VA"
4,39.2687302,-76.7994308,"Ellicott City, MD"
2,39.2687302,-76.7994308,"Ellicott City, MD"
1,39.2687302,-76.7994308,"Ellicott City, MD"
3,37.8371696,-122.3017502,"Emeryville, CA"
1,40.5349808,-75.4911804,"Emmaus, PA"
3,34.1572647,-118.4999008,"Encino, CA"
2,26.9504204,-82.353157,"Englewood, FL"
1,40.0373726,-105.0389481,"Erie, CO"
1,42.1294403,-80.0852432,"Erie, PA"
1,37.8289795,-78.6077194,"Esmont, VA"
1,41.3531189,-72.3906403,"Essex, CT"
1,44.0499191,-123.0885391,"Eugene, OR"
1,30.4921494,-92.4151688,"Eunice, LA"
4,42.0570183,-87.6864471,"Evanston, IL"
3,47.9765892,-122.2059326,"Everett, WA"
1,31.4337502,-86.9550705,"Evergreen, AL"
1,39.8863411,-74.908432,"Evesham Township, NJ"
1,40.2699089,-74.7998886,"Ewing, NJ"
1,37.5317612,-75.8228073,"Exmore, VA"
1,40.0280495,-75.6289825,"Exton, PA"
1,37.8293304,-78.7364273,"Faber, VA"
1,41.5656586,-75.7838821,"Factoryville, PA"
129,38.8417892,-77.3088684,"Fairfax, VA"
1,38.2492294,-122.0438766,"Fairfield, CA"
2,41.1658096,-73.2296219,"Fairfield, CT"
1,40.8800316,-74.2895126,"Fairfield, NJ"
1,35.1157684,-78.1358109,"Faison, NC"
29,38.8854904,-77.1736221,"Falls Church, VA"
2,43.7237015,-70.2322998,"Falmouth, ME"
2,42.4845581,-83.3634033,"Farmington Hills, MI"
1,41.7121201,-72.8385696,"Farmington, CT"
1,37.3098984,-78.3873978,"Farmville, VA"
1,36.0632019,-94.1579132,"Fayetteville, AR"
1,33.4486504,-84.4545593,"Fayetteville, GA"
4,35.0544891,-78.8775787,"Fayetteville, NC"
1,38.0525513,-81.1033936,"Fayetteville, WV"
1,38.4580612,-75.0521622,"Fenwick Island, DE"
1,39.6011314,-119.2464828,"Fernley, NV"
2,37.4996681,-79.8724213,"Fincastle, VA"
1,41.2580986,-72.0242615,"Fishers Island, NY"
5,38.0995903,-78.9701614,"Fishersville, VA"
1,42.5817604,-71.7922592,"Fitchburg, MA"
1,30.1030998,-81.7076035,"Fleming Island, FL"
4,34.1936302,-79.7690582,"Florence, SC"
1,41.3314095,-74.3566666,"Florida, NY"
1,32.3119507,-90.1397934,"Flowood, MS"
1,36.9315987,-80.3624115,Floyd
1,37.7628593,-78.2626038,"Fork Union, VA"
1,38.6882515,-77.1356506,"Fort Belvoir, VA"
1,39.4461288,-123.8059235,"Fort Bragg, CA"
6,40.5814705,-105.0762634,"Fort Collins, CO"
7,26.1236706,-80.1435623,"Fort Lauderdale, FL"
1,40.8527718,-73.9733505,"Fort Lee, NJ"
2,35.0066719,-80.943161,"Fort Mill, SC"
3,26.6408405,-81.8680801,"Fort Myers, FL"
2,35.3846016,-94.4213028,"Fort Smith, AR"
1,39.08078,-84.4489136,"Fort Thomas, KY"
2,38.73946,-77.0015335,"Fort Washington, MD"
4,32.7509499,-97.3308563,"Fort Worth, TX"
3,37.5611382,-122.2688828,"Foster City, CA"
1,39.5876999,-104.7791214,"Foxfield, CO"
3,42.279789,-71.4163513,"Framingham, MA"
1,42.9844704,-71.8082275,"Francestown, NH"
2,41.1571808,-74.7419434,"Frankford Township, NJ"
2,38.1950684,-84.8786926,"Frankfort, KY"
3,35.9242516,-86.8709335,"Franklin, TN"
1,42.5379791,-82.9496536,"Fraser, MI"
5,39.415741,-77.4120331,"Frederick, MD"
24,38.3008919,-77.459137,"Fredericksburg, VA"
3,37.5509109,-121.9821701,"Fremont, CA"
2,29.5300102,-95.2002411,"Friendswood, TX"
1,33.1504898,-96.8346405,"Frisco, TX"
8,38.9175301,-78.1935196,"Front Royal, VA"
1,30.4042301,-86.6151505,"Fort Walton Beach, FL"
1,32.7509499,-97.3308563,"Fort Worth, TX"
3,26.1236706,-80.1435623,"Fort Lauderdale, FL"
1,33.8703194,-117.9291,"Fullerton, CA"
1,35.5853806,-78.7998276,"Fuquay-Varina, NC"
5,29.6519508,-82.3231812,"Gainesville, FL"
1,33.6242714,-97.1430206,"Gainesville, TX"
2,38.7957497,-77.6135406,"Gainesville, VA"
9,39.1398582,-77.1938171,"Gaithersburg, MD"
2,36.6659584,-80.9265366,"Galax, VA"
1,40.9469109,-90.3646622,"Galesburg, IL"
1,38.8083115,-82.2057877,"Gallipolis, OH"
2,29.2953205,-94.8079071,"Galveston, TX"
1,40.7263412,-73.6355896,"Garden City, NY"
1,35.7063599,-78.6228867,"Garner, NC"
1,45.4358711,-123.1395416,"Gaston, OR"
1,30.6379108,-97.6770096,"Georgetown, TX"
5,39.1821785,-77.2700424,"Germantown, MD"
1,47.3279991,-122.580368,"Gig Harbor, WA"
3,43.5466614,-71.4085617,"Gilford, NH"
1,41.7123413,-72.60495,"Glastonbury, CT"
3,37.6653099,-77.5041504,"Glen Allen, VA"
2,39.1617889,-76.6218491,"Glen Burnie, MD"
1,38.3627892,-122.5246964,"Glen Ellen, CA"
1,37.9287415,-81.1560287,"Glen Jean, WV"
2,34.1463318,-118.248642,"Glendale, CA"
1,39.8397713,-75.0746918,"Glendora, NJ"
1,39.2666092,-76.986702,"Glenelg, MD"
1,42.0774498,-87.7985687,"Glenview, IL"
4,37.4012108,-76.5229721,Gloucester
3,39.756649,-105.2249527,"Golden, CO"
1,37.7219582,-77.9164124,Goochland
4,37.7219582,-77.9164124,Goochland
4,38.1413918,-78.1890564,"Gordonsville, VA"
1,41.4068298,-74.3165665,"Goshen, NY"
1,42.9274902,-83.6301575,"Grand Blanc, MI"
1,43.0629501,-86.2259979,"Grand Haven, MI"
1,32.7476997,-97.0072021,"Grand Prairie, TX"
1,42.9664116,-85.6711807,"Grand Rapids, MI"
2,32.9394302,-97.078392,"Grapevine, TX"
1,42.1961517,-73.3610916,"Great Barrington, MA"
1,36.682106,-76.247345,"Great Bridge, VA"
1,47.5071411,-111.3060684,"Great Falls, MT"
6,38.9972305,-77.2883911,"Great Falls, VA"
1,44.5127907,-88.0101624,"Green Bay, WI"
1,42.2765388,-74.122673,Greene
26,36.0689888,-79.7947006,"Greensboro, NC"
1,43.1780014,-85.2531891,"Greenville, MI"
3,35.6072006,-77.3802338,"Greenville, NC"
9,34.8482704,-82.4001083,"Greenville, SC"
9,41.0642509,-73.6397705,"Greenwich, CT"
2,39.609169,-104.904007,"Greenwood Village, CO"
1,34.19104,-82.1607437,"Greenwood, SC"
3,36.8829918,-76.2388611,"Greenwood, VA"
2,33.2471008,-84.2634583,"Griffin, GA"
1,42.6085281,-71.5716629,"Groton, MA"
1,37.2809715,-82.1029282,"Grundy, VA"
1,41.4804802,-72.5159912,"Haddam, CT"
1,39.6425018,-77.7175827,"Hagerstown, MD"
1,43.5210686,-114.3164368,"Hailey, ID"
2,36.7673683,-78.9368515,"Halifax, VA"
2,42.7401199,-78.8251724,"Hamburg, NY"
1,41.3839684,-72.9017029,"Hamden, CT"
1,40.2303581,-74.7238617,"Hamilton Township, NJ"
1,34.8933983,-79.7008667,"Hamlet, NC"
2,36.9555435,-76.377861,"Hampton Roads, VA"
14,37.0277901,-76.3451233,"Hampton, VA"
3,37.7601204,-77.4908829,Hanover
2,43.7004585,-72.2894974,"Hanover, NH"
1,39.8007393,-76.9828568,"Hanover, PA"
4,40.2599297,-76.8823395,"Harrisburg, PA"
31,38.4515305,-78.8690414,"Harrisonburg, VA"
5,41.7634888,-72.6740189,"Hartford, CT"
1,34.3750191,-80.0737534,"Hartsville, SC"
1,41.6683617,-70.0810089,"Harwich Port, MA"
1,31.306818,-89.3159866,"Hattiesburg, MS"
1,40.8251419,-73.203598,"Hauppauge, NY"
1,40.0139885,-75.3031921,"Haverford, PA"
2,42.7775993,-71.0765381,"Haverhill, MA"
1,40.9608192,-73.9921188,"Haworth, NJ"
5,38.8124008,-77.6369324,"Haymarket, VA"
1,40.9546509,-75.9762802,"Hazleton, PA"
3,38.6106415,-122.8688278,"Healdsburg, CA"
1,40.03545,-82.4322586,"Heath, OH"
1,39.9618111,-82.4899673,"Hebron, OH"
1,40.7100906,-73.6219864,"Hempstead, NY"
2,36.0308189,-114.9810867,"Henderson, NV"
2,35.3155708,-82.4586563,"Hendersonville, NC"
7,37.5539894,-77.3455124,"Henrico, VA"
1,33.8640404,-118.3953476,"Hermosa Beach, CA"
40,38.9696884,-77.3855515,"Herndon, VA"
1,40.2853813,-76.6509094,"Hershey, PA"
1,35.7349091,-81.3356018,"Hickory, NC"
2,35.9546814,-80.0050812,"High Point, NC"
1,36.07621,-79.0994415,"Hillsborough, NC"
2,32.1548195,-80.7622375,"Hilton Head Island, SC"
3,32.1548195,-80.7622375,"Hilton Head Island, SC"
4,31.8510494,-81.583847,"Hinesville, GA"
1,41.8036804,-87.9274826,"Hinsdale, IL"
